,City,Country,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed,Date
281,Jambi City,ID,-1.6,103.62,45,95,75.42,75.42,1597018047
282,General Cepeda,MX,25.38,-101.45,40,41,78.8,78.8,1597018049
283,Sabha,LY,27.04,14.43,6,31,87.87,87.87,1597018050
284,Longyearbyen,SJ,78.22,15.64,100,70,44.6,44.6,1597017862
285,Mana,GF,5.66,-53.78,66,87,78.19,78.19,1597017965
286,Indore,IN,22.72,75.83,100,91,75.31,75.31,1597018053
287,New Norfolk,AU,-42.78,147.06,2,93,39.99,39.99,1597017969
288,Noshiro,JP,40.2,140.02,75,100,75.2,75.2,1597018055
289,Makarov,RU,48.63,142.8,53,68,66.76,66.76,1597018056
290,Nantucket,US,41.28,-70.1,1,88,73.4,73.4,1597017986
291,Snåase,NO,64.25,12.38,30,84,47.07,47.07,1597018058
292,Biak,ID,-0.91,122.88,90,75,80.24,80.24,1597018059
293,Chardara,KZ,41.25,67.97,0,40,74.35,74.35,1597018060
294,Malakal,SS,9.53,31.66,100,98,70.16,70.16,1597018061
295,Dalbandin,PK,28.89,64.41,31,42,84.25,84.25,1597018062
296,Saurimo,AO,-9.66,20.39,1,32,67.82,67.82,1597018064
297,Honningsvåg,NO,70.98,25.97,8,92,51.12,51.12,1597018065
298,Camacha,PT,33.08,-16.33,40,78,71.6,71.6,1597018066
299,Lodwar,KE,3.12,35.6,55,45,82.6,82.6,1597018067
300,Winona,US,43.97,-91.77,1,69,82.4,82.4,1597018068
301,Ondjiva,AO,-17.07,15.73,0,30,60.64,60.64,1597018069
302,Departamento de Maldonado,UY,-34.67,-54.92,75,93,57.99,57.99,1597018070
303,Severo-Yeniseyskiy,RU,60.37,93.04,0,57,62.64,62.64,1597018071
304,Moultonborough,US,43.75,-71.4,62,64,78.01,78.01,1597018072
305,Faya,SA,18.39,42.45,76,88,68.0,68.0,1597018073
306,Porosozero,RU,62.72,32.73,73,97,55.33,55.33,1597018074
307,Aklavik,CA,68.22,-135.01,90,76,53.6,53.6,1597018075
308,Jiuquan,CN,39.74,98.52,49,19,74.84,74.84,1597018076
309,Hamilton,US,39.18,-84.53,1,55,87.01,87.01,1597017996
310,Nioro,GM,13.35,-15.75,100,95,75.92,75.92,1597018079
311,Esim,GH,4.87,-2.24,5,85,73.47,73.47,1597018080
312,Thetford Mines,CA,46.09,-71.3,100,82,73.99,73.99,1597018081
313,Wasilla,US,61.58,-149.44,40,63,66.2,66.2,1597018082
314,Saint-Augustin,CA,51.23,-58.65,35,59,71.13,71.13,1597018083
315,Amahai,ID,-3.33,128.92,38,81,80.47,80.47,1597018084
316,Kalakamati,BW,-20.59,27.31,0,37,56.32,56.32,1597018085
317,Beloha,MG,-25.17,45.05,0,39,59.22,59.22,1597017964
318,Lae,PG,-6.72,146.98,87,56,85.95,85.95,1597018087
319,Ayan,RU,56.45,138.17,34,60,64.09,64.09,1597018088
320,Sovetskiy,RU,61.36,63.58,100,96,54.12,54.12,1597018089
321,Chapais,CA,49.78,-74.85,1,50,78.8,78.8,1597017997
322,Samarai,PG,-10.62,150.67,55,85,79.14,79.14,1597018091
323,Galle,LK,6.04,80.22,98,86,78.87,78.87,1597017913
324,Cienfuegos,CU,22.15,-80.44,8,74,86.0,86.0,1597018093
325,Cabo San Lucas,MX,22.89,-109.91,5,46,91.4,91.4,1597017818
326,San Quintín,MX,30.48,-115.95,0,60,74.5,74.5,1597018096
327,Vardø,NO,70.37,31.11,100,88,51.46,51.46,1597018097
328,Zhigalovo,RU,54.81,105.16,71,60,62.65,62.65,1597018098
329,Crotone,IT,39.09,17.12,0,59,78.31,78.31,1597018099
330,Hualmay,PE,-11.1,-77.61,12,82,59.83,59.83,1597018100
331,Porto-Novo,BJ,6.5,2.6,20,88,75.2,75.2,1597018101
332,Kita,ML,13.03,-9.49,100,93,74.05,74.05,1597018102
333,Falmouth,GB,50.15,-5.07,100,93,61.0,61.0,1597018103
334,Laas,IT,46.62,10.7,12,100,64.99,64.99,1597018104
335,Ekhabi,RU,53.51,142.97,85,72,66.33,66.33,1597018106
336,Jaffna,LK,9.67,80.01,100,77,81.68,81.68,1597018107
337,Plettenberg Bay,ZA,-34.05,23.37,8,59,57.36,57.36,1597018108
338,Castro,BR,-24.79,-50.01,5,71,56.79,56.79,1597018109
339,Wanlaweyn,SO,2.62,44.89,84,81,73.29,73.29,1597018110
340,Llanes,ES,43.42,-4.75,99,98,69.01,69.01,1597018111
341,Magadan,RU,59.57,150.8,99,68,59.47,59.47,1597018112
342,Coquimbo,CL,-29.95,-71.34,100,87,53.6,53.6,1597018113
343,Mehamn,NO,71.04,27.85,99,92,50.18,50.18,1597018114
344,Dromolaxia,CY,34.88,33.59,0,78,77.0,77.0,1597018115
345,Voh,NC,-20.97,164.7,79,58,79.18,79.18,1597018116
346,Vao,NC,-22.67,167.48,82,80,72.73,72.73,1597017965
347,Katobu,ID,-4.94,122.53,11,75,80.8,80.8,1597018119
348,Inuvik,CA,68.35,-133.72,90,76,53.6,53.6,1597018120
349,Jagtiāl,IN,18.8,78.93,99,91,75.07,75.07,1597018121
350,Staszów,PL,50.56,21.17,19,1,68.0,68.0,1597018122
351,Tuktoyaktuk,CA,69.45,-133.04,90,81,50.0,50.0,1597018123
352,Gorin,RU,51.2,136.67,99,71,68.41,68.41,1597018124
353,Saquena,PE,-4.67,-73.52,33,70,78.53,78.53,1597018125
354,Shache,CN,38.42,77.24,99,32,77.07,77.07,1597018126
355,Coahuayana Viejo,MX,18.73,-103.68,90,83,77.0,77.0,1597018067
356,Takoradze,GH,4.88,-1.76,5,85,73.15,73.15,1597018128
357,Ladário,BR,-19.0,-57.6,0,24,75.11,75.11,1597018129
358,Les Cayes,HT,18.2,-73.75,87,79,81.48,81.48,1597018130
359,Srednekolymsk,RU,67.45,153.68,100,47,65.71,65.71,1597017995
360,Khasan,RU,42.43,130.64,100,92,72.72,72.72,1597018133
361,Santander,ES,43.46,-3.8,90,94,70.0,70.0,1597018134
362,Tuatapere,NZ,-46.13,167.68,93,92,50.0,50.0,1597018135
363,Neiafu,TO,-18.65,-173.98,40,65,77.0,77.0,1597018136
364,Waipawa,NZ,-41.41,175.52,0,62,59.0,59.0,1597017995
365,Limbang,MY,4.75,115.0,75,83,78.8,78.8,1597018138
366,Voyvozh,RU,62.89,54.96,35,98,44.46,44.46,1597018139
367,Yeppoon,AU,-23.13,150.73,0,59,60.8,60.8,1597018140
368,Griffith,US,41.53,-87.42,1,66,84.99,84.99,1597018141
369,Tungor,RU,53.38,142.96,92,71,67.06,67.06,1597018143
370,Chicama,PE,-7.84,-79.15,28,83,60.57,60.57,1597018144
371,Maple Creek,CA,49.92,-109.48,0,26,69.55,69.55,1597018145
372,Pangody,RU,65.85,74.49,89,82,52.23,52.23,1597018146
373,Taoudenni,ML,22.68,-3.98,0,12,101.01,101.01,1597018147
374,La Providencia,MX,28.72,-111.58,0,32,102.0,102.0,1597018148
375,Morgaushi,RU,55.96,46.77,20,87,51.8,51.8,1597018149
376,Labuan,MY,5.28,115.24,20,94,78.8,78.8,1597017859
377,Chifeng,CN,42.27,118.96,81,50,75.16,75.16,1597018131
378,Lake Shasta,US,40.68,-122.37,0,13,107.01,107.01,1597017890
379,Kudymkar,RU,59.02,54.66,90,83,48.24,48.24,1597018153
380,Shakhtinsk,KZ,49.71,72.59,7,77,62.6,62.6,1597018154
381,Alugan,PH,12.22,125.48,100,81,83.1,83.1,1597018156
382,Miramar,US,25.99,-80.23,1,70,88.0,88.0,1597018153
383,Fairbanks,US,64.84,-147.72,75,59,66.99,66.99,1597017932
384,Quatre Cocos,MU,-20.21,57.76,75,52,68.0,68.0,1597018159
385,Mariinsk,RU,56.21,87.75,0,80,61.07,61.07,1597018160
386,Shīeli,KZ,44.17,66.75,0,41,70.86,70.86,1597018161
387,Ambanja,MG,-13.68,48.45,95,83,67.77,67.77,1597018162
388,Farafangana,MG,-22.82,47.83,9,86,59.29,59.29,1597018163
389,Bodden Town,KY,19.28,-81.25,20,84,86.0,86.0,1597018164
390,Turukhansk,RU,65.82,87.98,89,72,64.72,64.72,1597018165
391,Ciudad del Carmen,MX,18.63,-91.83,40,79,86.0,86.0,1597018166
392,Lebedinyy,RU,58.52,125.52,46,69,62.42,62.42,1597018168
393,Fare,PF,-16.7,-151.02,1,70,78.78,78.78,1597018169
394,Muzhi,RU,65.37,64.67,100,96,50.86,50.86,1597018170
395,Kiryat Gat,IL,31.61,34.76,2,90,77.0,77.0,1597018171
396,Serenje,ZM,-13.23,30.24,0,62,49.51,49.51,1597018172
397,Ulenje,TZ,-8.93,33.68,23,78,49.82,49.82,1597018173
398,Faanui,PF,-16.48,-151.75,0,74,77.56,77.56,1597018174
399,Naples,IT,40.83,14.25,0,50,79.0,79.0,1597017981
400,College,US,64.86,-147.8,75,59,66.2,66.2,1597018176
401,Caravelas,BR,-17.71,-39.25,8,88,69.71,69.71,1597018177
402,Yar-Sale,RU,66.83,70.83,77,92,48.76,48.76,1597018180
403,Shenjiamen,CN,29.96,122.3,16,89,81.01,81.01,1597018181
404,Gamba,GA,-2.65,10.0,90,82,71.94,71.94,1597018182
405,Riberalta,BO,-10.98,-66.1,51,41,82.65,82.65,1597018183
406,Tortolì,IT,39.93,9.66,5,44,80.6,80.6,1597018184
407,Ambulu,ID,-8.35,113.61,40,80,75.97,75.97,1597017997
408,Thinadhoo,MV,0.53,72.93,100,77,82.11,82.11,1597018186
409,Iwanai,JP,42.97,140.51,100,88,70.39,70.39,1597018187
410,Kang,BW,-23.68,22.79,0,46,46.65,46.65,1597018188
411,Gazojak,TM,41.19,61.4,0,23,77.0,77.0,1597018189
412,Kiama,AU,-34.68,150.87,91,80,57.99,57.99,1597018190
413,Seybaplaya,MX,19.65,-90.67,75,83,84.2,84.2,1597018192
414,Uzhur,RU,55.3,89.83,0,82,59.81,59.81,1597018193
415,São José da Coroa Grande,BR,-8.9,-35.15,7,86,73.78,73.78,1597018194
416,Bonthe,SL,7.53,-12.51,86,81,76.77,76.77,1597018195
417,Sidi Ali,DZ,36.1,0.42,0,43,78.44,78.44,1597018196
418,Hofn,IS,64.25,-15.21,100,97,52.03,52.03,1597018197
419,Moses Lake,US,47.13,-119.28,1,17,86.0,86.0,1597018198
420,Avera,US,33.19,-82.53,40,69,82.4,82.4,1597018199
421,São Félix do Xingu,BR,-6.64,-51.99,0,39,75.97,75.97,1597018016
422,Vondrozo,MG,-22.82,47.28,0,100,47.5,47.5,1597018201
423,Sittwe,MM,20.15,92.9,100,87,81.09,81.09,1597018203
424,Papara,BR,-3.98,-38.73,40,83,79.0,79.0,1597018204
425,Batagay-Alyta,RU,67.8,130.41,100,83,42.75,42.75,1597018205
426,Ust-Kuyga,RU,70.02,135.6,97,75,42.17,42.17,1597018206
427,Janaúba,BR,-15.8,-43.31,29,62,67.93,67.93,1597018207
428,Leeton,AU,-34.57,146.4,0,66,51.01,51.01,1597018208
429,Suntar,RU,62.14,117.63,51,70,64.69,64.69,1597018209
430,Mattru,SL,7.62,-11.83,84,92,72.61,72.61,1597018210
431,Matamoros,MX,25.53,-103.25,40,19,96.8,96.8,1597018212
432,Malayal,PH,7.21,121.94,90,88,78.8,78.8,1597018213
433,Coyhaique,CL,-45.58,-72.07,75,51,39.2,39.2,1597018214
434,Vágur,FO,61.47,-6.81,100,87,53.42,53.42,1597018215
435,Airai,TL,-8.93,125.41,64,67,68.97,68.97,1597018217
436,Yunyang,CN,33.45,112.71,0,80,81.59,81.59,1597018218
437,Gucheng,CN,35.91,111.32,16,48,84.25,84.25,1597018219
438,Minna,NG,9.61,6.56,92,88,78.8,78.8,1597018220
439,Forsytheganj,BY,52.63,29.73,87,93,61.7,61.7,1597018221
440,Polazna,RU,58.29,56.41,100,93,53.6,53.6,1597018222
441,Demba,CD,-5.51,22.27,63,66,72.39,72.39,1597018223
442,Tiznit Province,MA,29.58,-9.5,24,59,76.71,76.71,1597018225
443,La Ronge,CA,55.1,-105.28,90,87,55.4,55.4,1597018226
444,Champerico,GT,14.3,-91.92,40,66,89.6,89.6,1597018227
445,Bilma,NE,18.69,12.92,37,47,86.52,86.52,1597018228
446,Bonavista,CA,48.65,-53.11,14,76,66.99,66.99,1597018229
447,Palencia,ES,42.42,-4.5,86,66,73.0,73.0,1597018230
448,Morón,AR,-34.65,-58.62,90,93,57.2,57.2,1597018231
449,Atambua,ID,-9.11,124.89,47,63,79.25,79.25,1597018232
450,Lüderitz,NA,-26.65,15.16,0,76,55.4,55.4,1597018233
451,Bariloche,AR,-41.15,-71.31,40,86,39.2,39.2,1597017963
452,Tura,IN,25.52,90.22,100,99,74.73,74.73,1597018236
453,The Valley,AI,18.22,-63.06,40,70,84.2,84.2,1597018137
454,Praia,CV,14.92,-23.51,52,74,78.8,78.8,1597018238
455,Jiayuguan City,CN,39.82,98.3,58,19,74.68,74.68,1597018239
456,Touros,BR,-5.2,-35.46,25,88,73.4,73.4,1597018240
457,Isangel,VU,-19.55,169.27,75,74,80.6,80.6,1597018068
458,Bosaso,SO,11.28,49.18,3,40,89.53,89.53,1597018243
459,De Aar,ZA,-30.65,24.01,11,83,36.9,36.9,1597018244
460,Bayir,TR,37.27,28.22,29,78,71.6,71.6,1597018245
461,Grand Forks,US,47.93,-97.03,75,83,75.2,75.2,1597018246
462,Havøysund,NO,71.0,24.66,75,87,51.8,51.8,1597018089
463,Nhulunbuy,AU,-12.23,136.77,20,50,78.8,78.8,1597018248
464,Kysyl-Syr,RU,63.9,122.76,1,71,61.57,61.57,1597018003
465,Pereira Barreto,BR,-20.64,-51.11,0,37,70.86,70.86,1597018250
466,Ketchikan,US,55.34,-131.65,90,87,59.0,59.0,1597018251
467,Tateyama,JP,34.98,139.87,75,74,88.0,88.0,1597018252
468,Codrington,AU,-38.27,141.97,6,85,48.29,48.29,1597018254
469,Nhamundá,BR,-2.19,-56.71,41,54,81.54,81.54,1597018255
470,Mlonggo,ID,-6.53,110.7,20,74,80.6,80.6,1597018256
471,Flinders,AU,-34.58,150.86,93,77,57.99,57.99,1597018197
472,Sisimiut,GL,66.94,-53.67,15,82,40.53,40.53,1597018258
473,Mount Isa,AU,-20.73,139.5,0,41,59.0,59.0,1597018259
474,Chu,KZ,43.6,73.76,8,86,71.01,71.01,1597018132
475,Florianópolis,BR,-27.61,-48.5,20,88,66.2,66.2,1597018261
476,Muşeniţa,RO,47.97,26.0,52,68,68.0,68.0,1597018262
477,Flin Flon,CA,54.77,-101.86,75,63,62.6,62.6,1597018263
478,Port Augusta,AU,-32.5,137.77,0,93,54.0,54.0,1597018264
479,Debre Tabor,ET,11.85,38.02,100,100,51.4,51.4,1597018026
480,Talgar,KZ,43.3,77.24,90,60,69.8,69.8,1597018266
481,Minzhu,CN,43.73,127.34,83,89,72.36,72.36,1597018268
482,Jadu,LY,31.95,12.03,0,96,64.44,64.44,1597018269
483,Samashki,RU,43.29,45.3,74,69,73.4,73.4,1597018270
484,Burnie,AU,-41.07,145.92,0,73,48.0,48.0,1597018271
485,Icod de los Vinos,ES,28.37,-16.71,20,81,73.0,73.0,1597018272
486,Oranjemund,NA,-28.55,16.43,0,77,53.91,53.91,1597018273
487,Saint Anthony,US,45.02,-93.22,90,66,87.01,87.01,1597018274
488,Voznesen'ye,RU,61.01,35.48,31,90,61.7,61.7,1597018275
489,Ixtapa,MX,20.7,-105.2,90,94,82.0,82.0,1597018276
490,Bintulu,MY,3.17,113.03,20,88,75.2,75.2,1597018277
491,Kirakira,SB,-10.45,161.92,65,66,85.53,85.53,1597018278
492,Yamada,JP,39.47,141.95,100,73,81.07,81.07,1597018279
493,Greer,US,34.94,-82.23,1,69,82.99,82.99,1597018220
494,Atherton,GB,53.52,-2.49,69,84,63.0,63.0,1597018282
495,Jasper,US,37.2,-94.35,1,55,91.99,91.99,1597018283
496,Dukat,RU,62.55,155.55,98,48,66.54,66.54,1597018284
497,Mahuva,IN,21.09,71.76,77,84,80.83,80.83,1597018285
498,Sitka,US,57.05,-135.33,90,87,55.4,55.4,1597018286
499,Broome,US,42.25,-75.83,0,28,79.0,79.0,1597018287
500,Weligama,LK,5.97,80.42,99,87,78.19,78.19,1597018146
501,Novocheremshansk,RU,54.36,50.17,11,92,55.49,55.49,1597018289
502,Pont-Audemer,FR,49.35,0.52,5,93,70.0,70.0,1597018290
503,Azamgarh,IN,26.06,83.19,100,87,81.93,81.93,1597018291
504,Suicheng,CN,33.9,117.93,20,41,84.99,84.99,1597018293
505,Buluang,PH,13.31,123.34,42,73,84.09,84.09,1597018294
506,Walvis Bay,NA,-22.96,14.51,0,70,52.0,52.0,1597018295
507,Talara,PE,-4.58,-81.27,4,89,61.93,61.93,1597018296
508,Calabazar de Sagua,CU,22.64,-79.9,20,79,84.2,84.2,1597018297
509,Teguise,ES,29.06,-13.56,20,73,73.4,73.4,1597018298
510,Morehead,US,37.27,-87.18,1,74,80.6,80.6,1597018299
511,Ostrovnoy,RU,68.05,39.51,100,73,50.68,50.68,1597018300
512,Shaowu,CN,27.34,117.48,100,82,81.3,81.3,1597018301
513,The Pas,CA,53.83,-101.25,20,77,60.8,60.8,1597018302
514,Nuuk,GL,64.18,-51.72,84,86,41.0,41.0,1597018205
515,Mackay,AU,-21.15,149.2,0,42,66.0,66.0,1597018304
516,Luganville,VU,-15.53,167.17,40,65,82.4,82.4,1597018306
517,Tekkali,IN,18.62,84.23,99,80,81.03,81.03,1597018307
518,Āsosa,ET,10.07,34.53,97,98,60.85,60.85,1597018308
519,Nemuro,JP,43.32,145.57,75,100,66.2,66.2,1597018309
520,Paamiut,GL,61.99,-49.67,100,91,43.86,43.86,1597018310
521,Beringovskiy,RU,63.05,179.32,95,75,54.82,54.82,1597018061
522,Pinega,RU,64.7,43.39,100,83,46.99,46.99,1597018312
523,Bemidji,US,47.47,-94.88,75,100,62.6,62.6,1597018313
524,Maltahöhe,NA,-24.83,16.98,0,56,43.7,43.7,1597018314
525,Christiana,ZA,-27.91,25.16,0,83,36.55,36.55,1597018316
526,Gornopravdinsk,RU,60.05,69.9,27,92,63.41,63.41,1597018317
527,West Bay,KY,19.37,-81.42,20,84,86.0,86.0,1597018318
528,Mountain Home,US,43.13,-115.69,1,10,87.8,87.8,1597018025
529,Alekseyevka,RU,50.63,38.69,0,82,61.2,61.2,1597018320
530,Conde,BR,-7.26,-34.91,40,94,73.4,73.4,1597018321
531,Djambala,CG,-2.54,14.75,44,73,69.26,69.26,1597018322
532,Dūkštas,LT,55.53,26.33,13,90,61.2,61.2,1597018323
533,Talnakh,RU,69.49,88.4,90,100,51.8,51.8,1597018324
534,Karratha,AU,-20.74,116.85,80,69,71.02,71.02,1597018325
535,Clovis,US,36.83,-119.7,20,19,104.0,104.0,1597018185
536,Koumac,NC,-20.57,164.28,88,67,77.36,77.36,1597018327
537,Lac-Mégantic,CA,45.58,-70.88,40,94,71.6,71.6,1597018328
538,Safranbolu,TR,41.25,32.69,48,66,61.02,61.02,1597018330
539,Ilo,PE,-17.64,-71.34,45,81,57.81,57.81,1597018331
540,Geraldton,AU,-28.77,114.6,75,77,60.8,60.8,1597018332
541,Bloomfield,US,40.81,-74.19,75,69,84.99,84.99,1597018128
542,Labytnangi,RU,66.66,66.42,100,89,48.24,48.24,1597018334
543,Golynki,RU,54.87,31.39,21,93,59.41,59.41,1597018335
544,Bignona,SN,12.81,-16.23,100,93,76.24,76.24,1597018336
545,George Town,MY,5.41,100.34,20,94,82.4,82.4,1597018222
546,Harper,LR,4.38,-7.72,23,81,74.86,74.86,1597018338
547,Key Largo,US,25.09,-80.45,71,1,84.99,84.99,1597018253
548,Murmashi,RU,68.82,32.81,75,100,48.2,48.2,1597018340
549,Charters Towers,AU,-20.1,146.27,0,30,63.36,63.36,1597018341
550,Honiara,SB,-9.43,159.95,20,66,89.6,89.6,1597018197
551,Severnyy,RU,50.68,36.55,7,68,64.4,64.4,1597018344
552,Boyolangu,ID,-8.12,111.89,55,84,74.52,74.52,1597018345
553,Kambove,CD,-10.88,26.6,0,46,53.92,53.92,1597018346
554,High Level,CA,58.52,-117.14,20,40,73.4,73.4,1597018347
555,Port Macquarie,AU,-31.43,152.92,4,77,55.0,55.0,1597018348
556,Agüimes,ES,27.91,-15.45,40,73,73.4,73.4,1597018349
557,St. Pete Beach,US,27.73,-82.74,20,69,84.0,84.0,1597018350
558,Stony Plain,CA,53.53,-114.0,1,34,69.01,69.01,1597018125
559,Wisconsin Rapids,US,44.38,-89.82,1,69,82.99,82.99,1597018352
560,Gorontalo,ID,0.54,123.06,74,80,80.1,80.1,1597018353
561,Tilichiki,RU,60.47,166.1,100,72,55.6,55.6,1597018354
562,Ust-Nera,RU,64.57,143.2,87,35,69.22,69.22,1597018355
